,voltage,current,power,label,v_norm,I_norm
741,25484,7084,180.528656,22,,
742,25778,7086,182.662908,22,,
743,26073,7093,184.935789,22,,
744,26382,7101,187.338582,22,,
745,26692,7100,189.5132,22,,
746,27008,7085,191.35168,22,,
747,27670,7060,195.3502,22,,
748,28016,7050,197.5128,22,,
749,28356,7049,199.881444,22,,
750,28719,7047,202.382793,22,,
751,29093,7058,205.338394,22,,
752,29470,7070,208.3529,22,,
753,29854,7063,210.858802,22,,
754,30252,7037,212.883324,22,,
755,30660,7015,215.0799,22,,
756,31077,6996,217.414692,22,,
757,31513,6988,220.212844,22,,
758,31962,7002,223.797924,22,,
759,32416,7013,227.333408,22,,
760,32890,7015,230.72335,22,,
761,33372,7001,233.637372,22,,
762,33874,6976,236.305024,22,,
763,34389,6944,238.797216,22,,
764,34916,6910,241.26956,22,,
765,35458,6896,244.518368,22,,
766,36019,6895,248.351005,22,,
767,36613,6894,252.410022,22,,
768,37225,6891,256.517475,22,,
769,37843,6870,259.98141,22,,
770,38481,6831,262.863711,22,,
771,39136,6760,264.55936,22,,
772,39826,6666,265.480116,22,,
773,40530,6591,267.13323,22,,
774,41267,6478,267.327626,22,,
775,42006,6284,263.965704,22,,
776,42743,5851,250.089293,22,,
777,43490,5313,231.06237,22,,
778,44264,4701,208.085064,22,,
779,45058,4067,183.250886,22,,
780,45878,3456,158.554368,22,,
781,46711,2786,130.136846,22,,
782,47527,2193,104.226711,22,,
783,48306,1623,78.400638,22,,
784,49100,1003,49.2473,22,,
798,50159,867,43.487853,22,,
799,49331,1555,76.709705,23,,
800,48548,2192,106.417216,23,,
801,47710,2864,136.64144,23,,
802,46835,3549,166.217415,23,,
803,46005,4233,194.739165,23,,
804,45182,4886,220.759252,23,,
805,44378,5530,245.41034,23,,
806,43608,6185,269.71548,23,,
807,42852,6742,288.908184,23,,
808,42097,7051,296.825947,23,,
809,41354,7191,297.376614,23,,
810,40613,7260,294.85038,23,,
811,39890,7299,291.15711,23,,
812,39195,7331,287.338545,23,,
813,38534,7384,284.535056,23,,
814,37898,7452,282.415896,23,,
815,37283,7502,279.697066,23,,
816,36677,7537,276.434549,23,,
817,36079,7537,271.927423,23,,
818,35511,7524,267.184764,23,,
819,34965,7518,262.86687,23,,
820,34438,7536,259.524768,23,,
821,33921,7559,256.408839,23,,
822,33420,7609,254.29278,23,,
823,32933,7625,251.114125,23,,
824,32464,7623,247.473072,23,,
825,32004,7623,243.966492,23,,
826,31562,7611,240.218382,23,,
827,31123,7615,237.001645,23,,
828,30698,7608,233.550384,23,,
829,30292,7636,231.309712,23,,
830,29894,7667,229.197298,23,,
831,29506,7677,226.517562,23,,
832,29129,7676,223.594204,23,,
833,28756,7666,220.443496,23,,
834,28395,7658,217.44891,23,,
835,27703,7658,212.149574,23,,
836,27369,7686,210.358134,23,,
837,27040,7697,208.12688,23,,
838,26721,7703,205.831863,23,,
839,26411,7703,203.443933,23,,
840,26106,7696,200.911776,23,,
841,25805,7694,198.54367,23,,
842,25515,7700,196.4655,23,,
843,25227,7699,194.222673,23,,
860,24950,7719,192.58905,54,,
861,25231,7729,195.010399,54,,
862,25520,7729,197.24408,54,,
863,25807,7715,199.101005,54,,
864,26103,7696,200.888688,54,,
865,26408,7687,202.998296,54,,
866,26723,7687,205.419701,54,,
867,27041,7679,207.647839,54,,
868,27368,7692,210.514656,54,,
869,27702,7692,213.083784,54,,
870,28048,7697,215.885456,54,,
871,28397,7691,218.401327,54,,
872,28757,7671,220.594947,54,,
873,29127,7658,223.054566,54,,
874,29498,7630,225.06974,54,,
875,29886,7644,228.448584,54,,
876,30294,7640,231.44616,54,,
877,31123,7667,238.620041,54,,
878,31561,7651,241.473211,54,,
879,32003,7624,243.990872,54,,
880,32462,7596,246.581352,54,,
881,32934,7568,249.244512,54,,
882,33416,7570,252.95912,54,,
883,33919,7555,256.258045,54,,
884,34438,7571,260.730098,54,,
885,34978,7580,265.13324,54,,
886,35522,7565,268.72393,54,,
887,36082,7536,271.913952,54,,
888,36667,7492,274.709164,54,,
889,37270,7437,277.17699,54,,
890,37898,7407,280.710486,54,,
891,38545,7394,285.00173,54,,
892,39206,7386,289.575516,54,,
893,39895,7367,293.906465,54,,
894,40613,7294,296.231222,54,,
895,41355,7185,297.135675,54,,
896,42099,7023,295.661277,54,,
897,42851,6689,286.630339,54,,
898,43602,6137,267.585474,54,,
899,44378,5523,245.099694,54,,
900,45259,5403,244.534377,54,,
901,46082,4745,218.65909,54,,
902,46918,4040,189.54872,54,,
903,47782,3292,157.298344,54,,
904,48666,2513,122.297658,54,,
905,49461,1831,90.563091,54,,
906,50260,1144,57.49744,54,,
907,51094,444,22.685736,54,,
919,50262,1148,57.700776,55,,
920,49459,1833,90.658347,55,,
921,48668,2499,121.621332,55,,
922,47780,3252,155.38056,55,,
923,46918,4011,188.188098,55,,
924,46082,4751,218.935582,55,,
925,45258,5466,247.380228,55,,
926,44462,6108,271.573896,55,,
927,43694,6732,294.148008,55,,
928,42918,7180,308.15124,55,,
929,42141,7412,312.349092,55,,
930,41382,7546,312.268572,55,,
931,40653,7652,311.076756,55,,
932,39945,7763,310.093035,55,,
933,39256,7812,306.667872,55,,
934,38582,7837,302.367134,55,,
935,37935,7826,296.87931,55,,
936,37313,7820,291.78766,55,,
937,36712,7852,288.262624,55,,
938,36109,7892,284.972228,55,,
939,35545,7938,282.15621,55,,
940,35007,7970,279.00579,55,,
941,34476,7985,275.29086,55,,
942,33955,7975,270.791125,55,,
943,33448,7967,266.480216,55,,
944,32958,7953,262.114974,55,,
945,32491,7972,259.018252,55,,
946,32029,8005,256.392145,55,,
947,31589,8035,253.817615,55,,
948,31151,8051,250.796701,55,,
949,30727,8047,247.260169,55,,
950,30326,8045,243.97267,55,,
951,29915,8027,240.127705,55,,
952,29523,8032,237.128736,55,,
953,29147,8035,234.196145,55,,
954,28778,8053,231.749234,55,,
955,28422,8084,229.763448,55,,
956,28074,8096,227.287104,55,,
957,27723,8093,224.362239,55,,
958,27390,8073,221.11947,55,,
959,27063,8071,218.425473,55,,
960,26743,8078,216.029954,55,,
961,26427,8082,213.583014,55,,
962,25829,8114,209.576506,55,,
963,25534,8123,207.412682,55,,
964,25247,8111,204.778417,55,,
981,24967,8103,202.307601,85,,
982,25249,8102,204.567398,85,,
983,25529,8095,206.657255,85,,
984,25822,8093,208.977446,85,,
985,26125,8096,211.508,85,,
986,26432,8104,214.204928,85,,
987,26747,8107,216.837929,85,,
988,27061,8098,219.139978,85,,
989,27388,8077,221.212876,85,,
990,27725,8062,223.51895,85,,
991,28070,8053,226.04771,85,,
992,28417,8046,228.643182,85,,
993,28776,8050,231.6468,85,,
994,29153,8065,235.118945,85,,
995,29529,8071,238.328559,85,,
996,29920,8071,241.48432,85,,
997,30320,8037,243.68184,85,,
998,30722,8018,246.328996,85,,
999,31146,7991,248.887686,85,,
1000,31587,7984,252.190608,85,,
1001,32027,8000,256.216,85,,
1002,32493,8012,260.333916,85,,
1003,32964,8010,264.04164,85,,
1004,33458,8011,268.032038,85,,
1005,34472,7949,274.017928,85,,
1006,35001,7905,276.682905,85,,
1007,35544,7884,280.228896,85,,
1008,36117,7889,284.927013,85,,
1009,36717,7902,290.137734,85,,
1010,37318,7912,295.260016,85,,
1011,37936,7883,299.049488,85,,
1012,38585,7831,302.159135,85,,
1013,39254,7764,304.768056,85,,
1014,39942,7689,307.114038,85,,
1015,40653,7631,310.223043,85,,
1016,41388,7552,312.562176,85,,
1017,42145,7448,313.89596,85,,
1018,42929,7227,310.247883,85,,
1019,43698,6772,295.922856,85,,
1020,44466,6127,272.443182,85,,
1021,45257,5440,246.19808,85,,
1022,46075,4720,217.474,85,,
1023,46915,3972,186.34638,85,,
1024,47783,3283,156.871589,85,,
1025,48669,2531,123.181239,85,,
1026,49460,1859,91.94614,85,,
1027,50267,1165,58.561055,85,,
1028,51093,440,22.48092,85,,
1041,50270,1165,58.56455,86,,
1042,49460,1854,91.69884,86,,
1043,48680,2523,122.81964,86,,
1044,47786,3315,158.41059,86,,
1045,46917,4040,189.54468,86,,
1046,46079,4719,217.446801,86,,
1047,44456,6062,269.492272,86,,
1048,43684,6742,294.517528,86,,
1049,42915,7236,310.53294,86,,
1050,42152,7484,315.465568,86,,
1051,41404,7602,314.753208,86,,
1052,40656,7673,311.953488,86,,
1053,39932,7710,307.87572,86,,
1054,39237,7727,303.184299,86,,
1055,38573,7780,300.09794,86,,
1056,37940,7839,297.41166,86,,
1057,37314,7902,294.855228,86,,
1058,36711,7922,290.824542,86,,
1059,36115,7927,286.283605,86,,
1060,35554,7912,281.303248,86,,
1061,35002,7906,276.725812,86,,
1062,34468,7930,273.33124,86,,
1063,33947,7949,269.844703,86,,
1064,33452,7982,267.013864,86,,
1065,32968,8014,264.205552,86,,
1066,32497,8027,260.853419,86,,
1067,32029,8016,256.744464,86,,
1068,31583,8007,252.885081,86,,
1069,31148,7997,249.090556,86,,
1070,30725,8009,246.076525,86,,
1071,30319,8028,243.400932,86,,
1072,29918,8056,241.019408,86,,
1073,29527,8070,238.28289,86,,
1074,29152,8072,235.314944,86,,
1075,28779,8058,231.901182,86,,
1076,28420,8052,228.83784,86,,
1077,28068,8051,225.975468,86,,
1078,27722,8064,223.550208,86,,
1079,27388,8082,221.349816,86,,
1080,27067,8095,219.107365,86,,
1081,26743,8099,216.591557,86,,
1082,26429,8104,214.180616,86,,
1083,26122,8094,211.431468,86,,
1084,25824,8090,208.91616,86,,
1085,25533,8091,206.587503,86,,
1086,25248,8100,204.5088,86,,
1102,24962,8112,202.491744,118,,
1103,25250,8120,205.03,118,,
1104,25535,8122,207.39527,118,,
1105,25827,8117,209.637759,118,,
1106,26123,8094,211.439562,118,,
1107,26426,8081,213.548506,118,,
1108,26741,8072,215.853352,118,,
1109,27062,8073,218.471526,118,,
1110,27385,8083,221.352955,118,,
1111,27760,8712,241.84512,118,,
1112,28104,8719,245.038776,118,,
1113,28456,8705,247.70948,118,,
1114,28817,8687,250.333279,118,,
1115,29190,8668,253.01892,118,,
1116,29563,8653,255.808639,118,,
1117,29951,8653,259.166003,118,,
1118,30358,8655,262.74849,118,,
1119,30775,8666,266.69615,118,,
1120,31203,8684,270.966852,118,,
1121,31631,8676,274.430556,118,,
1122,32077,8639,277.113203,118,,
1123,32534,8606,279.987604,118,,
1124,33013,8583,283.350579,118,,
1125,33504,8574,287.263296,118,,
1126,34005,8571,291.456855,118,,
1127,34520,8585,296.3542,118,,
1128,35056,8588,301.060928,118,,
1129,35614,8576,305.425664,118,,
1130,36186,8545,309.20937,118,,
