,v_in,v_out
88,35708.0,3613.0
89,35157.0,3630.0
90,34621.0,3653.0
91,34102.0,3679.0
92,33597.0,3709.0
93,33105.0,3739.0
94,32626.0,3758.0
95,32159.0,3754.0
96,31717.0,3761.0
97,31274.0,3753.0
98,30848.0,3762.0
99,30435.0,3771.0
100,30032.0,3783.0
101,29641.0,3807.0
102,29261.0,3817.0
103,28892.0,3816.0
104,28523.0,3809.0
105,28175.0,3813.0
106,27827.0,3820.0
107,27488.0,3833.0
108,27161.0,3843.0
109,26839.0,3859.0
110,26519.0,3849.0
111,26209.0,3846.0
112,25913.0,3844.0
113,25620.0,3850.0
114,25330.0,3848.0
115,49.0,3860.0
116,24770.0,3860.0
117,24501.0,3861.0
118,24238.0,3868.0
119,23979.0,3863.0
120,23725.0,3869.0
121,23480.0,3863.0
122,23241.0,3867.0
123,22997.0,3868.0
124,22769.0,3875.0
125,22997.0,3878.0
126,23239.0,3871.0
127,23477.0,3866.0
128,23723.0,3863.0
129,23978.0,3862.0
130,24238.0,3864.0
131,24505.0,3857.0
132,24773.0,3861.0
133,25049.0,3865.0
134,25333.0,3863.0
135,25625.0,3857.0
136,25916.0,3845.0
137,26211.0,3843.0
138,26519.0,3833.0
139,26837.0,3835.0
140,27162.0,3840.0
141,27489.0,3846.0
142,27830.0,3846.0
143,28176.0,3829.0
144,28520.0,3810.0
145,28888.0,3809.0
146,29264.0,3794.0
147,29641.0,3797.0
148,30034.0,3808.0
149,30440.0,3809.0
150,30853.0,3817.0
151,31282.0,3787.0
152,31720.0,3777.0
153,32164.0,3751.0
154,32629.0,3734.0
155,33104.0,3733.0
156,33603.0,3731.0
157,34104.0,3723.0
158,34628.0,3711.0
159,35162.0,3677.0
160,35712.0,3638.0
161,36284.0,3570.0
162,36869.0,3478.0
163,37461.0,3293.0
164,38686.0,2762.0
165,39329.0,2464.0
166,39947.0,2165.0
167,40570.0,1848.0
168,41223.0,1546.0
169,41887.0,1222.0
170,42572.0,905.0
171,43301.0,555.0
172,44052.0,186.0
173,44396.0,33.0
174,44539.0,32.0
175,44540.0,34.0
176,44540.0,35.0
177,44486.0,33.0
178,44488.0,36.0
179,44487.0,37.0
180,44488.0,34.0
181,44488.0,32.0
182,44489.0,31.0
183,44489.0,32.0
184,44488.0,33.0
185,44489.0,32.0
186,44489.0,32.0
187,44489.0,30.0
188,44485.0,34.0
189,44487.0,33.0
190,44488.0,31.0
191,44486.0,35.0
192,44489.0,35.0
193,44487.0,33.0
194,44488.0,33.0
195,44486.0,34.0
196,44486.0,37.0
197,44485.0,36.0
198,44481.0,277.0
199,43297.0,549.0
200,42570.0,891.0
201,41888.0,1227.0
202,41226.0,1555.0
203,40571.0,1846.0
204,39946.0,2158.0
205,38688.0,2765.0
206,38072.0,3042.0
207,37462.0,3303.0
208,36864.0,3465.0
209,36280.0,3555.0
210,35713.0,3627.0
211,35107.0,3109.0
212,34576.0,3160.0
213,34055.0,3180.0
214,33556.0,3180.0
215,33063.0,3208.0
216,32585.0,3203.0
217,32124.0,3226.0
218,31676.0,3255.0
219,31239.0,3268.0
220,30815.0,3284.0
221,30404.0,3281.0
222,29997.0,3270.0
223,29605.0,3272.0
224,29230.0,3270.0
225,28856.0,3289.0
226,28495.0,3300.0
227,28142.0,3307.0
228,27796.0,3315.0
229,27457.0,3305.0
230,27131.0,3310.0
231,26806.0,3309.0
232,26491.0,3312.0
233,26186.0,3317.0
234,25893.0,3329.0
235,25598.0,3335.0
236,25305.0,3329.0
237,25025.0,3331.0
238,24751.0,3328.0
239,24482.0,3331.0
240,24220.0,3335.0
241,23959.0,3341.0
242,23706.0,3347.0
