,voltage,current,power,label
9518,25058.0,9971.0,249.853318,103
9519,25336.0,9958.0,252.295888,103
9520,25625.0,9949.0,254.943125,103
9521,25919.0,9949.0,257.868131,103
9522,26224.0,9958.0,261.138592,103
9523,26530.0,9971.0,264.53063,103
9524,26844.0,9966.0,267.527304,103
9525,27169.0,9954.0,270.440226,103
9526,27494.0,9930.0,273.01542,103
9527,27836.0,9914.0,275.966104,103
9528,28182.0,9911.0,279.311802,103
9529,28896.0,9903.0,286.157088,103
9530,29657.0,9914.0,294.019498,103
9531,30454.0,9899.0,301.464146,103
9532,31285.0,9837.0,307.750545,103
9533,31725.0,9831.0,311.888475,103
9534,32179.000000000004,9833.0,316.416107,103
9535,32647.0,9855.0,321.736185,103
9536,33119.0,9866.0,326.752054,103
9537,33611.0,9859.0,331.370849,103
9538,34121.0,9815.0,334.897615,103
9539,34642.0,9772.0,338.521624,103
9540,35177.0,9731.0,342.307387,103
9541,35725.0,9721.0,347.282725,103
9542,36300.0,9712.0,352.5456,103
9543,36893.0,9712.0,358.304816,103
9544,38154.0,9705.0,370.28457,103
9545,38798.0,9669.0,375.137862,103
9546,40153.0,9500.0,381.4535,103
9547,41633.0,9353.0,389.393449,103
9548,43113.0,8573.0,369.607749,103
9549,44674.0,7509.0,335.457066,103
9550,46255.0,5797.0,268.140235,103
9551,47936.0,4179.0,200.324544,103
9552,48821.0,3335.0,162.818035,103
9553,50495.0,1701.0,85.891995,103
9554,51315.0,936.0,48.03084,103
9555,51315.0,948.0,48.64662,104
9556,49747.0,2529.0,125.810163,104
9557,47950.0,4222.0,202.4449,104
9558,47084.0,5017.0,236.220428,104
9559,45447.0,6670.0,303.13149,104
9560,43886.0,8071.0,354.203906,104
9561,43114.0,8573.0,369.616322,104
9562,42324.0,8816.0,373.128384,104
9563,41571.0,8928.0,371.145888,104
9564,40824.0,8965.0,365.98716,104
9565,40103.0,8985.0,360.325455,104
9566,39405.0,9012.0,355.11786,104
9567,38727.0,9090.0,352.02843,104
9568,38081.0,9152.0,348.517312,104
9569,37456.0,9208.0,344.894848,104
9570,36853.0,9245.0,340.705985,104
9571,35679.0,9241.0,329.709639,104
9572,35121.0,9219.0,323.780499,104
9573,34582.0,9246.0,319.745172,104
9574,34067.0,9275.0,315.971425,104
9575,33572.0,9315.0,312.72318,104
9576,33085.0,9353.0,309.444005,104
9577,32607.0,9372.0,305.592804,104
9578,32140.0,9350.0,300.509,104
9579,31688.0,9325.0,295.4906,104
9580,31252.0,9329.0,291.549908,104
9581,30826.0,9341.0,287.945666,104
9582,30416.0,9369.0,284.967504,104
9583,29606.0,9209.0,272.641654,104
9584,28861.0,9201.0,265.550061,104
9585,28139.0,9191.0,258.625549,104
9586,27457.0,9215.0,253.016255,104
9587,26811.0,9245.0,247.867695,104
9588,26491.0,9238.0,244.723858,104
9589,26184.0,9225.0,241.5474,104
9590,25884.0,9224.0,238.754016,104
9591,25596.0,9228.0,236.199888,104
9592,25305.0,9236.0,233.71698,104
9593,25021.0,9257.0,231.619397,104
9594,24749.0,9251.0,228.952999,105
9595,25025.0,9255.0,231.606375,105
9596,25306.0,9256.0,234.232336,105
9597,25887.0,9246.0,239.351202,105
9598,26494.0,9219.0,244.248186,105
9599,27125.0,9210.0,249.82125,105
9600,27800.0,9229.0,256.5662,105
9601,28854.0,9200.0,265.4568,105
9602,29225.0,9166.0,267.87635,105
9603,30000.0,9160.0,274.8,105
9604,30814.0,9176.0,282.749264,105
9605,31681.0,9164.0,290.324684,105
9606,32586.0,9107.0,296.760702,105
9607,34586.0,9172.0,317.222792,105
9608,35127.0,9185.0,322.641495,105
9609,36242.0,9136.0,331.106912,105
9610,36834.0,9076.0,334.305384,105
9611,37445.0,9023.0,337.866235,105
9612,38075.0,8981.0,341.951575,105
9613,38722.0,8973.0,347.452506,105
9614,39387.0,8971.0,353.340777,105
9615,40091.0,8927.0,357.892357,105
9616,40817.0,8874.0,362.210058,105
9617,41564.0,8770.0,364.51628,105
9618,42320.0,8614.0,364.54448,105
9619,43083.0,8354.0,359.915382,105
9620,43843.0,7843.0,343.860649,105
9621,46232.0,5665.0,261.90428,105
9622,47057.0,4872.0,229.261704,105
9623,49676.0,2296.0,114.056096,105
9624,50436.0,1550.0,78.1758,105
9625,50441.0,1550.0,78.18355,105
9626,48790.0,3126.0,152.51754,106
9627,47050.0,4852.0,228.2866,106
9628,45419.0,6453.0,293.088807,106
9629,44636.0,7203.0,321.513108,106
9630,43084.0,8351.0,359.794484,106
9631,41546.0,8705.0,361.65793,106
9632,40810.0,8839.0,360.71959,106
9633,39397.0,9010.0,354.96697,106
9634,38721.0,9031.0,349.689351,106
9635,38071.0,9030.0,343.78113,106
9636,37444.0,9017.0,337.632548,106
9637,36837.0,9041.0,333.043317,106
9638,36241.0,9096.0,329.648136,106
9639,35666.0,9143.0,326.094238,106
9640,35117.0,9174.0,322.163358,106
9641,34587.0,9200.0,318.2004,106
9642,34069.0,9199.0,313.400731,106
9643,33561.0,9184.0,308.224224,106
9644,33064.0,9177.0,303.428328,106
9645,32587.000000000004,9181.0,299.181247,106
9646,31686.0,9247.0,293.000442,106
9647,30819.0,9284.0,286.123596,106
9648,29998.0,9241.0,277.211518,106
9649,29612.0,9247.0,273.822164,106
9650,28861.0,9282.0,267.887802,106
9651,28150.0,9320.0,262.358,106
9652,27136.0,9294.0,252.201984,106
9653,26495.0,9310.0,246.66845,106
9654,25892.0,9337.0,241.753604,106
9655,25310.0,9342.0,236.44602,106
9656,24752.0,9353.0,231.505456,107
9657,25026.0,9331.0,233.517606,107
9658,25305.0,9329.0,236.070345,107
9659,25595.0,9322.0,238.59659,107
9660,25891.0,9319.0,241.278229,107
