,voltage,current,duty
790,26562.0,1113.0,615
791,26609.0,1086.0,614
792,26453.0,1089.0,618
793,28191.0,923.0,599
794,27079.0,1056.0,603
795,26684.0,3124.0,643
796,28524.0,3101.0,563
797,32833.0,2934.0,495
798,32133.0,2985.0,507
799,31840.0,2993.0,521
800,32093.0,2987.0,524
801,32385.0,2967.0,521
802,33752.0,2773.0,511
803,33089.0,2892.0,502
804,31811.0,2988.0,517
805,32496.0,2954.0,517
806,33264.0,2876.0,519
807,33269.0,2868.0,487
808,32681.0,3174.0,495
809,32179.0,3215.0,515
810,33005.0,3171.0,523
811,32991.0,3156.0,518
812,33040.0,3143.0,513
813,33522.0,3101.0,517
814,32345.0,3207.0,501
815,32232.0,3203.0,497
816,33381.0,3111.0,519
817,33140.0,3145.0,494
818,31638.0,3245.0,513
819,34675.0,2729.0,498
820,32423.0,3189.0,494
821,34819.0,2597.0,495
822,31163.0,3254.0,515
823,33442.0,3090.0,493
824,32927.0,3151.0,516
825,33045.0,3140.0,514
826,34017.0,2996.0,507
827,33641.0,3059.0,501
828,31626.0,3229.0,507
829,32110.0,3211.0,513
830,33824.0,3041.0,512
831,33700.0,3048.0,510
832,32222.0,3189.0,497
833,31558.0,3249.0,518
834,32555.0,3198.0,519
835,32613.0,3181.0,519
836,32613.0,3180.0,520
837,33830.0,3043.0,492
838,33315.0,3116.0,500
839,32103.0,3217.0,519
840,32122.0,3219.0,519
841,33515.0,3093.0,497
842,32096.0,3209.0,499
843,31561.0,3249.0,517
844,33320.0,2850.0,478
845,31692.0,2978.0,504
846,31942.0,2966.0,511
847,31289.0,3011.0,524
848,33505.0,2811.0,515
849,33439.0,2814.0,509
850,30951.0,3018.0,520
851,31835.0,2985.0,521
852,33451.0,2827.0,514
853,33184.0,2856.0,505
854,31173.0,3009.0,520
855,33051.0,2882.0,482
856,31837.0,2986.0,502
857,33063.0,2884.0,522
858,32683.0,2924.0,528
859,32814.0,2920.0,491
860,31964.0,2986.0,500
861,32011.0,2966.0,515
862,32807.0,2908.0,514
863,33332.0,2864.0,497
864,31718.0,2991.0,504
865,32008.0,2970.0,510
866,32554.0,2926.0,530
867,32546.0,2936.0,501
868,32315.0,2962.0,515
869,32009.0,2971.0,518
870,32383.0,2941.0,501
871,31767.0,2989.0,523
872,32998.0,2888.0,499
873,32126.0,2960.0,512
874,31816.0,2977.0,521
875,33205.0,2864.0,500
876,33304.0,2855.0,498
877,31953.0,2965.0,520
878,31642.0,2990.0,525
879,31698.0,3000.0,524
880,33495.0,2820.0,495
881,33186.0,2866.0,502
882,30712.0,3031.0,524
883,32022.0,2984.0,524
884,33376.0,2844.0,517
885,32437.0,2940.0,505
886,31703.0,2994.0,515
887,32064.0,2979.0,518
888,33121.0,2877.0,501
889,31889.0,2975.0,516
890,32240.0,2961.0,518
891,31160.0,342.0,501
892,29096.0,1028.0,581
893,26680.0,1256.0,593
894,27518.0,1232.0,605
895,27807.0,1222.0,608
896,26461.0,1265.0,603
897,28226.0,1194.0,599
898,26946.0,1255.0,594
899,26941.0,1256.0,607
900,26861.0,1259.0,607
901,27433.0,1234.0,592
902,26942.0,1252.0,607
903,26514.0,1266.0,597
904,27255.0,1252.0,620
905,28129.0,1210.0,592
906,27797.0,1225.0,586
907,26978.0,1259.0,606
908,28197.0,1218.0,560
909,27163.0,1247.0,582
910,27760.0,1230.0,609
911,27434.0,1250.0,616
912,26421.0,1273.0,639
913,27846.0,1228.0,587
914,26951.0,1256.0,601
915,27293.0,1253.0,604
916,27891.0,1219.0,590
917,27076.0,1259.0,604
918,27985.0,1218.0,584
919,28134.0,1199.0,581
920,27237.0,1247.0,591
921,27526.0,1242.0,609
922,26341.0,1277.0,610
923,26175.0,1279.0,623
924,27384.0,1241.0,597
925,27377.0,1250.0,605
926,26475.0,1277.0,610
927,27524.0,1236.0,594
928,27302.0,1281.0,598
929,29196.0,1075.0,579
930,28433.0,1233.0,575
931,27474.0,1272.0,595
932,27571.0,1271.0,598
933,27757.0,1268.0,575
934,27664.0,1276.0,611
935,28237.0,1237.0,599
936,28188.0,1244.0,600
937,28096.0,1252.0,562
938,27159.0,1284.0,582
939,28136.0,1246.0,601
940,29180.0,1229.0,580
941,27640.0,1360.0,572
942,28583.0,1313.0,592
943,28644.0,1301.0,591
944,27308.0,1363.0,590
945,28487.0,1317.0,561
946,27308.0,1370.0,619
947,28542.0,1308.0,589
948,28348.0,1320.0,584
949,28062.0,1345.0,569
950,29032.0,1267.0,583
951,27187.0,1368.0,582
952,29446.0,1173.0,575
953,27264.0,1371.0,606
954,28298.0,1326.0,577
955,28348.0,1319.0,577
956,27449.0,1361.0,597
957,27311.0,1378.0,599
958,28141.0,1329.0,581
959,27397.0,1365.0,597
960,27876.0,1349.0,574
961,27547.0,1351.0,601
962,28239.0,1321.0,585
963,27952.0,1347.0,565
964,27490.0,1359.0,586
965,27398.0,1356.0,597
966,27621.0,1348.0,593
967,27773.0,1353.0,574
968,28384.0,1320.0,596
969,28523.0,1298.0,553
970,27717.0,1347.0,579
971,27539.0,1365.0,610
972,28292.0,1324.0,576
973,26570.0,1375.0,596
974,28063.0,1334.0,587
975,28340.0,1324.0,565
976,27420.0,1363.0,609
977,28286.0,1316.0,567
978,27765.0,1347.0,581
979,27676.0,1350.0,603
980,28376.0,1322.0,578
981,27365.0,1355.0,591
982,27623.0,1354.0,597
983,28063.0,1340.0,570
984,27139.0,1371.0,595
985,26905.0,1368.0,608
986,26816.0,1375.0,595
987,27870.0,1349.0,590
988,27148.0,1373.0,596
989,27131.0,1363.0,610
990,28051.0,1332.0,583
991,27258.0,1367.0,599
992,29237.0,1217.0,579
993,26447.0,1376.0,601
994,27950.0,1340.0,587
995,28063.0,1340.0,573
996,27050.0,1378.0,596
997,26944.0,1366.0,610
998,26560.0,1381.0,621
999,27547.0,1363.0,579
1000,27769.0,1339.0,589
1001,26260.0,1391.0,623
1002,27602.0,1359.0,593
1003,27720.0,1349.0,590
1004,26611.0,1389.0,595
1005,28992.0,1261.0,584
1006,28045.0,1337.0,581
1007,27506.0,1358.0,583
1008,27555.0,1364.0,614
1009,28290.0,1329.0,574
1010,27539.0,1353.0,614
1011,27777.0,1348.0,581
1012,27538.0,1363.0,594
1013,28017.0,1341.0,578
1014,27863.0,1337.0,594
1015,27958.0,1341.0,566
1016,27693.0,1358.0,611
1017,28691.0,1293.0,578
1018,27818.0,1340.0,588
1019,28341.0,1316.0,577
1020,27405.0,1368.0,598
1021,29370.0,1172.0,576
1022,28386.0,1308.0,581
1023,26396.0,1390.0,614
1024,28148.0,1325.0,585
1025,27493.0,1358.0,588
1026,27862.0,1352.0,591
1027,27365.0,1370.0,597
1028,27735.0,1351.0,584
1029,28049.0,1337.0,598
1030,28484.0,1317.0,576
1031,28839.0,1291.0,575
1032,27357.0,1358.0,578
1033,28344.0,1321.0,565
1034,28686.0,1357.0,570
1035,29634.0,1112.0,551
1036,27858.0,1352.0,587
1037,27493.0,1358.0,595
1038,27454.0,1356.0,608
1039,28005.0,1337.0,604
1040,26699.0,1385.0,594
1041,28821.0,1282.0,586
1042,28282.0,1314.0,590
1043,26494.0,1384.0,607
1044,28065.0,1341.0,563
1045,27355.0,1363.0,618
1046,28149.0,1324.0,589
1047,27131.0,1367.0,599
1048,29218.0,1215.0,579
1049,29814.0,3371.0,539
1050,33784.0,3130.0,509
1051,34334.0,3030.0,505
1052,33213.0,3205.0,492
1053,33270.0,3203.0,489
1054,32968.0,3237.0,488
1055,32837.0,3246.0,492
1056,32697.0,3236.0,503
1057,31868.0,3302.0,516
1058,34178.0,3050.0,507
1059,33851.0,3113.0,499
1060,31159.0,3316.0,515
1061,32566.0,3258.0,518
1062,32123.0,3283.0,499
1063,32566.0,3252.0,515
1064,32551.0,3252.0,514
1065,32745.0,3241.0,523
1066,33353.0,3187.0,480
1067,32314.0,3262.0,510
1068,32943.0,3211.0,526
1069,33590.0,3149.0,505
1070,34115.0,3082.0,497
1071,32195.0,3276.0,498
1072,32178.0,3267.0,498
1073,32062.0,3279.0,514
1074,35079.0,2934.0,494
1075,31361.0,3473.0,512
1076,33255.0,3354.0,522
1077,34070.0,3284.0,492
1078,32601.0,3414.0,512
1079,33375.0,3364.0,482
1080,32601.0,3411.0,497
1081,33589.0,3320.0,497
1082,32796.0,3396.0,509
